State,Areaname,2003Rural-urbanContinuumCode,2003UrbanInfluenceCode,2013Rural-urbanContinuumCode,2013UrbanInfluenceCode,"Lessthanahighschooldiploma,1970","Highschooldiplomaonly,1970","Percentofadultswithlessthanahighschooldiploma,1970","Percentofadultswithlessthanahighschooldiploma,2010-2014","Percentofadultswithahighschooldiplomaonly,2010-2014","Percentofadultscompletingsomecollegeorassociate'sdegree,2010-2014","Percentofadultswithabachelor'sdegreeorhigher,2010-2014"
US,UnitedStates,,,,,52373312,34158051,47.7,13.7,28,29.1,29.3
AL,Alabama,,,,,1062306,468269,58.7,16.3,31.1,29.6,23.1
AL,AutaugaCounty,2,2,2,2,6611,3757,54.8,13.8,33.5,30.7,21.9
AL,BaldwinCounty,4,5,3,2,18726,8426,59.4,11,28.8,31.6,28.6
AL,BarbourCounty,6,6,6,6,8120,2242,68.8,25.4,33.4,27.5,13.6
AL,BibbCounty,1,1,1,1,5272,1402,73.1,22.1,40.1,27.6,10.2
AL,BlountCounty,1,1,1,1,10677,3440,70.5,21.9,34.5,31.3,12.3
AL,BullockCounty,6,6,6,6,4245,958,72.9,34.5,32.3,19.1,14.1
AL,ButlerCounty,6,6,6,6,8353,2459,70.5,23.4,37.1,25.1,14.3
AL,CalhounCounty,3,2,3,2,30535,13804,58.6,19.9,32.4,30.8,16.9
AL,ChambersCounty,6,5,6,5,13616,4816,67.4,22.5,37.3,28,12.2
AL,CherokeeCounty,8,6,6,6,6126,1878,69.8,20.5,35.9,29.9,13.7
AL,ChiltonCounty,1,1,1,1,10285,2805,73.2,22.5,40,24,13.5
AL,ChoctawCounty,9,10,9,10,5720,1922,68.2,25.9,35.2,26.1,12.8
AL,ClarkeCounty,7,11,7,11,8459,3485,62.7,19.9,43.9,24.2,11.9
AL,ClayCounty,9,10,9,10,4784,1719,66.8,25.1,36.2,30,8.6
AL,CleburneCounty,8,4,8,4,4431,1198,73.1,24.7,38.6,26.1,10.6
AL,CoffeeCounty,6,5,4,5,10790,4861,59.9,16.9,29.8,30.1,23.2
AL,ColbertCounty,3,2,3,2,15050,7986,56.3,16.4,33.8,32.2,17.6
AL,ConecuhCounty,9,11,7,11,5889,1709,71.2,24,42.8,24.8,8.3
AL,CoosaCounty,8,7,8,3,3983,1260,69.8,24.1,39.5,27.3,9.1
AL,CovingtonCounty,7,9,6,6,13470,4333,68.3,20,34.1,31.3,14.6
AL,CrenshawCounty,8,6,8,6,5595,1295,73.9,23.1,38.6,25.8,12.5
AL,CullmanCounty,6,3,4,3,20137,6244,69.7,18.5,33.2,33.2,15.1
AL,DaleCounty,4,5,4,5,9412,7274,44.6,15.3,31.1,36.8,16.9
AL,DallasCounty,4,5,4,5,15421,6357,58.6,22.3,35.4,27.8,14.5
